time,mem
2018/4/2 8:56,0.423431545
2018/4/2 8:56,0.43474108
2018/4/2 8:56,0.441571653
2018/4/2 8:56,0.435161948
2018/4/2 8:56,0.432785392
2018/4/2 8:56,0.431390017
2018/4/2 8:56,0.430728585
2018/4/2 8:56,0.432508796
2018/4/2 8:56,0.431579918
2018/4/2 8:56,0.435527831
2018/4/2 8:57,0.43551296
2018/4/2 8:57,0.433272511
2018/4/2 8:57,0.437137097
2018/4/2 8:57,0.439789772
2018/4/2 8:57,0.438282758
2018/4/2 8:57,0.438134402
2018/4/2 8:57,0.443572253
2018/4/2 8:57,0.446782857
2018/4/2 8:57,0.441219211
2018/4/2 8:57,0.443468302
2018/4/2 8:57,0.440464407
2018/4/2 8:57,0.439865619
2018/4/2 8:57,0.43955642
2018/4/2 8:57,0.439351618
2018/4/2 8:57,0.439082235
2018/4/2 8:57,0.438780695
2018/4/2 8:57,0.438543737
2018/4/2 8:58,0.438324779
2018/4/2 8:58,0.438092619
2018/4/2 8:58,0.437703937
2018/4/2 8:58,0.437430233
2018/4/2 8:58,0.437176704
2018/4/2 8:58,0.436947912
2018/4/2 8:58,0.436755121
2018/4/2 8:58,0.436548173
2018/4/2 8:58,0.43591556
2018/4/2 8:58,0.435580164
2018/4/2 8:58,0.435272396
2018/4/2 8:58,0.435262769
2018/4/2 8:58,0.435052723
2018/4/2 8:58,0.434727639
2018/4/2 8:58,0.43454349
2018/4/2 8:58,0.434403539
2018/4/2 8:58,0.434217215
2018/4/2 8:59,0.43400234
2018/4/2 8:59,0.433769226
2018/4/2 8:59,0.43420881
2018/4/2 8:59,0.433869094
2018/4/2 8:59,0.433626384
2018/4/2 8:59,0.43358773
2018/4/2 8:59,0.433548838
2018/4/2 8:59,0.433496982
2018/4/2 8:59,0.433451355
2018/4/2 8:59,0.433322936
2018/4/2 8:59,0.433301061
2018/4/2 8:59,0.434330314
2018/4/2 8:59,0.433376938
2018/4/2 8:59,0.433245122
2018/4/2 8:59,0.43321225
2018/4/2 8:59,0.438182652
2018/4/2 9:00,0.425984353
2018/4/2 9:00,0.432744801
2018/4/2 9:00,0.435869217
2018/4/2 9:00,0.441140473
2018/4/2 9:00,0.44706279
2018/4/2 9:00,0.453220427
2018/4/2 9:00,0.462405711
2018/4/2 9:00,0.451298803
2018/4/2 9:00,0.453673214
2018/4/2 9:00,0.45284158
2018/4/2 9:00,0.461341441
2018/4/2 9:00,0.461067021
2018/4/2 9:00,0.448695362
2018/4/2 9:00,0.448534518
2018/4/2 9:00,0.450094789
2018/4/2 9:00,0.433416307
2018/4/2 9:00,0.441661447
2018/4/2 9:01,0.444775075
2018/4/2 9:01,0.444239199
2018/4/2 9:01,0.444881171
2018/4/2 9:01,0.444045693
2018/4/2 9:01,0.44296509
2018/4/2 9:01,0.443357378
2018/4/2 9:01,0.443255812
2018/4/2 9:01,0.442965806
2018/4/2 9:01,0.436896533
2018/4/2 9:01,0.435936689
2018/4/2 9:01,0.435828894
2018/4/2 9:01,0.436758488
2018/4/2 9:01,0.428024799
2018/4/2 9:01,0.432067782
2018/4/2 9:01,0.432069689
2018/4/2 9:01,0.420418292
2018/4/2 9:01,0.380032688
