time,net
2018/4/2 9:08,45.898438
2018/4/2 9:08,17.578125
2018/4/2 9:08,124.02344
2018/4/2 9:08,41.992188
2018/4/2 9:08,1391.6016
2018/4/2 9:08,4.8828125
2018/4/2 9:09,1.953125
2018/4/2 9:09,3.90625
2018/4/2 9:09,20.507812
2018/4/2 9:09,4173.828
2018/4/2 9:09,12511.719
2018/4/2 9:09,13.671875
2018/4/2 9:09,244.14062
2018/4/2 9:09,13.671875
2018/4/2 9:09,0
2018/4/2 9:09,6.8359375
2018/4/2 9:09,0.9765625
2018/4/2 9:09,7.8125
2018/4/2 9:09,53.710938
2018/4/2 9:09,0
2018/4/2 9:09,0.9765625
2018/4/2 9:09,0
2018/4/2 9:09,6.8359375
2018/4/2 9:10,0
2018/4/2 9:10,0
2018/4/2 9:10,13.671875
2018/4/2 9:10,16.601562
2018/4/2 9:10,20.507812
2018/4/2 9:10,19.53125
2018/4/2 9:10,1.953125
2018/4/2 9:10,0.9765625
2018/4/2 9:10,107.421875
2018/4/2 9:10,0
2018/4/2 9:10,7.8125
2018/4/2 9:10,1.953125
2018/4/2 9:10,0.9765625
2018/4/2 9:10,7.8125
2018/4/2 9:10,0.9765625
2018/4/2 9:10,13.671875
2018/4/2 9:10,456.0547
2018/4/2 9:11,38.085938
2018/4/2 9:11,5.859375
2018/4/2 9:11,1.953125
2018/4/2 9:11,0
2018/4/2 9:11,2.9296875
2018/4/2 9:11,3.90625
2018/4/2 9:11,0.9765625
2018/4/2 9:11,2.9296875
2018/4/2 9:11,24.414062
2018/4/2 9:11,0
2018/4/2 9:11,115.234375
2018/4/2 9:11,0.9765625
2018/4/2 9:11,19.53125
2018/4/2 9:11,273.4375
2018/4/2 9:11,115.234375
2018/4/2 9:11,95.703125
2018/4/2 9:12,1.953125
2018/4/2 9:12,0
2018/4/2 9:12,0
2018/4/2 9:12,1.953125
2018/4/2 9:12,0.9765625
2018/4/2 9:12,4.8828125
2018/4/2 9:12,0
2018/4/2 9:12,0
2018/4/2 9:12,0
2018/4/2 9:12,0
2018/4/2 9:12,57.617188
2018/4/2 9:12,0
2018/4/2 9:12,0
2018/4/2 9:12,0
2018/4/2 9:12,0
2018/4/2 9:12,7.8125
2018/4/2 9:12,0
2018/4/2 9:13,0
2018/4/2 9:13,0
2018/4/2 9:13,82.03125
2018/4/2 9:13,0
2018/4/2 9:13,0
2018/4/2 9:13,0.9765625
2018/4/2 9:13,0
2018/4/2 9:13,0
2018/4/2 9:13,0
2018/4/2 9:13,0
2018/4/2 9:13,106.44531
2018/4/2 9:13,0
2018/4/2 9:13,0
2018/4/2 9:13,0
2018/4/2 9:13,0
2018/4/2 9:13,1.953125
2018/4/2 9:14,3.90625
2018/4/2 9:14,5.859375
2018/4/2 9:14,454.10156
2018/4/2 9:14,97.65625
2018/4/2 9:14,96.67969
2018/4/2 9:14,30.273438
2018/4/2 9:14,4.8828125
2018/4/2 9:14,2.9296875
2018/4/2 9:14,0
2018/4/2 9:14,23.4375
2018/4/2 9:14,4.8828125
2018/4/2 9:14,0
2018/4/2 9:14,2.9296875
2018/4/2 9:14,0.9765625
2018/4/2 9:14,0.9765625
2018/4/2 9:14,3.90625
2018/4/2 9:14,12.6953125
2018/4/2 9:15,0
2018/4/2 9:15,155.27344
2018/4/2 9:15,140.625
2018/4/2 9:15,5.859375
2018/4/2 9:15,1.953125
2018/4/2 9:15,17.578125
2018/4/2 9:15,4.8828125
2018/4/2 9:15,16.601562
2018/4/2 9:15,173.82812
2018/4/2 9:15,629.8828
2018/4/2 9:15,465.8203
2018/4/2 9:15,201.17188
2018/4/2 9:15,12.6953125
2018/4/2 9:15,4.8828125
2018/4/2 9:15,35.15625
2018/4/2 9:15,117.1875
2018/4/2 9:15,10.7421875
2018/4/2 9:16,10.7421875
2018/4/2 9:16,0.9765625
2018/4/2 9:16,0.9765625
2018/4/2 9:16,2.9296875
2018/4/2 9:16,0
2018/4/2 9:16,0.9765625
2018/4/2 9:16,3.90625
2018/4/2 9:16,0.9765625
2018/4/2 9:16,6.8359375
2018/4/2 9:16,16.601562
2018/4/2 9:16,88.86719
2018/4/2 9:16,0.9765625
2018/4/2 9:16,0.9765625
2018/4/2 9:16,0.9765625
2018/4/2 9:16,1.953125
2018/4/2 9:16,0.9765625
2018/4/2 9:17,0.9765625
2018/4/2 9:17,2.9296875
2018/4/2 9:17,7.8125
2018/4/2 9:17,5.859375
2018/4/2 9:17,3.90625
2018/4/2 9:17,5.859375
2018/4/2 9:17,0
2018/4/2 9:17,2.9296875
2018/4/2 9:17,0.9765625
2018/4/2 9:17,0.9765625
2018/4/2 9:17,0
2018/4/2 9:17,13.671875
2018/4/2 9:17,22.460938
2018/4/2 9:17,4092.7734
2018/4/2 9:17,11.71875
2018/4/2 9:17,11.71875
2018/4/2 9:17,5.859375
2018/4/2 9:18,4978.5156
2018/4/2 9:18,0.9765625
2018/4/2 9:18,1.953125
2018/4/2 9:18,2199.2188
2018/4/2 9:18,86.91406
2018/4/2 9:18,18.554688
2018/4/2 9:18,0.9765625
2018/4/2 9:18,6.8359375
2018/4/2 9:18,0.9765625
2018/4/2 9:18,31.25
2018/4/2 9:18,114.25781
2018/4/2 9:18,14.6484375
2018/4/2 9:18,24.414062
2018/4/2 9:18,7.8125
2018/4/2 9:18,3.90625
2018/4/2 9:18,0.9765625
2018/4/2 9:19,19.53125
2018/4/2 9:19,12.6953125
2018/4/2 9:19,3.90625
2018/4/2 9:19,0.9765625
2018/4/2 9:19,5.859375
2018/4/2 9:19,3.90625
2018/4/2 9:19,5.859375
2018/4/2 9:19,0.9765625
2018/4/2 9:19,8.7890625
2018/4/2 9:19,23.4375
2018/4/2 9:19,7.8125
2018/4/2 9:19,0
2018/4/2 9:19,7428.711
2018/4/2 9:19,95.703125
2018/4/2 9:19,12866.211
2018/4/2 9:19,2804.6875
2018/4/2 9:19,41.015625
2018/4/2 9:20,0.9765625
2018/4/2 9:20,113.28125
2018/4/2 9:20,146.48438
2018/4/2 9:20,1.953125
2018/4/2 9:20,3.90625
2018/4/2 9:20,22.460938
2018/4/2 9:20,4.8828125
2018/4/2 9:20,2.9296875
2018/4/2 9:20,14.6484375
2018/4/2 9:20,446.28906
2018/4/2 9:20,5.859375
2018/4/2 9:20,153.32031
2018/4/2 9:20,22.460938
2018/4/2 9:20,692.3828
2018/4/2 9:20,3.90625
2018/4/2 9:20,0.9765625
2018/4/2 9:20,13.671875
2018/4/2 9:21,0.9765625
2018/4/2 9:21,0
2018/4/2 9:21,0.9765625
2018/4/2 9:21,0
2018/4/2 9:21,1406.25
2018/4/2 9:21,7407.2266
2018/4/2 9:21,6.8359375
2018/4/2 9:21,887.6953
2018/4/2 9:21,45.898438
2018/4/2 9:21,2.9296875
2018/4/2 9:21,684.5703
2018/4/2 9:21,1.953125
2018/4/2 9:21,1096.6797
2018/4/2 9:21,7.8125
2018/4/2 9:21,106.44531
2018/4/2 9:21,0.9765625
2018/4/2 9:22,136.71875
2018/4/2 9:22,60.546875
2018/4/2 9:22,0.9765625
2018/4/2 9:22,4.8828125
2018/4/2 9:22,10.7421875
2018/4/2 9:22,35868.164
2018/4/2 9:22,1.953125
2018/4/2 9:22,0.9765625
2018/4/2 9:22,0
2018/4/2 9:22,0
2018/4/2 9:22,4.8828125
2018/4/2 9:22,20.507812
2018/4/2 9:22,18.554688
2018/4/2 9:22,0.9765625
2018/4/2 9:22,5.859375
2018/4/2 9:22,1.953125
2018/4/2 9:22,0.9765625
2018/4/2 9:23,0.9765625
2018/4/2 9:23,3291.9922
2018/4/2 9:23,81.05469
2018/4/2 9:23,0
2018/4/2 9:23,6446.289
2018/4/2 9:23,202.14844
2018/4/2 9:23,128.90625
2018/4/2 9:23,1787.1094
2018/4/2 9:23,6953.125
2018/4/2 9:23,14635.742
2018/4/2 9:23,2437.5
2018/4/2 9:23,250.97656
2018/4/2 9:23,2602.539
2018/4/2 9:23,134.76562
2018/4/2 9:23,8209.961
2018/4/2 9:23,97.65625
2018/4/2 9:24,93.75
2018/4/2 9:24,111.328125
2018/4/2 9:24,3.90625
2018/4/2 9:24,2.9296875
2018/4/2 9:24,0.9765625
2018/4/2 9:24,35.15625
2018/4/2 9:24,39.0625
2018/4/2 9:24,18.554688
2018/4/2 9:24,0
2018/4/2 9:24,18.554688
2018/4/2 9:24,23.4375
2018/4/2 9:24,90.82031
2018/4/2 9:24,6500
2018/4/2 9:24,23.4375
2018/4/2 9:24,369.14062
2018/4/2 9:24,16.601562
2018/4/2 9:24,10.7421875
2018/4/2 9:25,3009.7656
2018/4/2 9:25,3.90625
2018/4/2 9:25,12.6953125
2018/4/2 9:25,17656.25
2018/4/2 9:25,21885.742
2018/4/2 9:25,36183.594
2018/4/2 9:25,1430.6641
2018/4/2 9:25,32.226562
2018/4/2 9:25,19.53125
2018/4/2 9:25,7.8125
2018/4/2 9:25,0.9765625
2018/4/2 9:25,505.85938
2018/4/2 9:25,91.796875
2018/4/2 9:25,6.8359375
2018/4/2 9:25,2475.586
2018/4/2 9:25,38251.953
2018/4/2 9:25,13.671875
2018/4/2 9:26,171.875
2018/4/2 9:26,45.898438
2018/4/2 9:26,169.92188
2018/4/2 9:26,684.5703
2018/4/2 9:26,4641.6016
2018/4/2 9:26,13.671875
2018/4/2 9:26,2.9296875
2018/4/2 9:26,27.34375
2018/4/2 9:26,508.78906
2018/4/2 9:26,1377.9297
2018/4/2 9:26,13.671875
2018/4/2 9:26,13.671875
2018/4/2 9:26,90.82031
2018/4/2 9:26,658.2031
2018/4/2 9:26,92.77344
2018/4/2 9:26,17881.836
2018/4/2 9:27,8099.6094
2018/4/2 9:27,1190.4297
2018/4/2 9:27,25250.977
2018/4/2 9:27,2386.7188
2018/4/2 9:27,16808.594
2018/4/2 9:27,6310.547
2018/4/2 9:27,63.476562
2018/4/2 9:27,0
2018/4/2 9:27,28229.492
2018/4/2 9:27,1133.7891
2018/4/2 9:27,22742.188
2018/4/2 9:27,6009.7656
2018/4/2 9:27,4888.672
2018/4/2 9:27,16528.32
2018/4/2 9:27,42679.688
2018/4/2 9:27,90.82031
2018/4/2 9:27,92.77344
2018/4/2 9:28,124.02344
2018/4/2 9:28,102.53906
2018/4/2 9:28,89.84375
2018/4/2 9:28,56.640625
2018/4/2 9:28,3.90625
2018/4/2 9:28,7.8125
2018/4/2 9:28,0.9765625
2018/4/2 9:28,3.90625
2018/4/2 9:28,0.9765625
2018/4/2 9:28,1.953125
2018/4/2 9:28,25.390625
2018/4/2 9:28,0
2018/4/2 9:28,5.859375
2018/4/2 9:28,9.765625
2018/4/2 9:28,2.9296875
2018/4/2 9:28,0.9765625
2018/4/2 9:28,8.7890625
2018/4/2 9:29,0
2018/4/2 9:29,6.8359375
2018/4/2 9:29,29.296875
2018/4/2 9:29,0.9765625
2018/4/2 9:29,0
2018/4/2 9:29,33.203125
2018/4/2 9:29,126.953125
2018/4/2 9:29,17.578125
2018/4/2 9:29,0
2018/4/2 9:29,9.765625
2018/4/2 9:29,115.234375
2018/4/2 9:29,0
2018/4/2 9:29,0
2018/4/2 9:29,0
2018/4/2 9:29,0
2018/4/2 9:29,0
2018/4/2 9:30,13.671875
2018/4/2 9:30,8.7890625
2018/4/2 9:30,0
2018/4/2 9:30,2.9296875
2018/4/2 9:30,0
2018/4/2 9:30,18.554688
2018/4/2 9:30,1.953125
2018/4/2 9:30,2.9296875
2018/4/2 9:30,0.9765625
2018/4/2 9:30,0.9765625
2018/4/2 9:30,5.859375
2018/4/2 9:30,1.953125
2018/4/2 9:30,3.90625
2018/4/2 9:30,0
2018/4/2 9:30,0
2018/4/2 9:30,0
2018/4/2 9:30,4.8828125
2018/4/2 9:31,0
2018/4/2 9:31,2.9296875
2018/4/2 9:31,0
2018/4/2 9:31,0
2018/4/2 9:31,0.9765625
2018/4/2 9:31,0.9765625
2018/4/2 9:31,0.9765625
2018/4/2 9:31,7.8125
2018/4/2 9:31,0
2018/4/2 9:31,30.273438
2018/4/2 9:31,200.19531
2018/4/2 9:31,0
2018/4/2 9:31,140.625
2018/4/2 9:31,0
2018/4/2 9:31,0
2018/4/2 9:31,4.8828125
2018/4/2 9:32,137.69531
2018/4/2 9:32,0.9765625
2018/4/2 9:32,0
2018/4/2 9:32,0
2018/4/2 9:32,10.7421875
2018/4/2 9:32,2.9296875
2018/4/2 9:32,3.90625
2018/4/2 9:32,0
2018/4/2 9:32,0
2018/4/2 9:32,0
2018/4/2 9:32,4.8828125
2018/4/2 9:32,4.8828125
2018/4/2 9:32,13.671875
2018/4/2 9:32,0
2018/4/2 9:32,0.9765625
2018/4/2 9:32,0
2018/4/2 9:32,4.8828125
2018/4/2 9:33,0
2018/4/2 9:33,0
2018/4/2 9:33,0
2018/4/2 9:33,0.9765625
2018/4/2 9:33,1.953125
2018/4/2 9:33,0
2018/4/2 9:33,0
2018/4/2 9:33,0.9765625
2018/4/2 9:33,0.9765625
2018/4/2 9:33,22.460938
2018/4/2 9:33,116.21094
2018/4/2 9:33,1.953125
2018/4/2 9:33,0.9765625
2018/4/2 9:33,0
2018/4/2 9:33,0.9765625
2018/4/2 9:33,0.9765625
2018/4/2 9:34,0
2018/4/2 9:34,0
2018/4/2 9:34,0
2018/4/2 9:34,0
2018/4/2 9:34,2.9296875
2018/4/2 9:34,2.9296875
2018/4/2 9:34,7.8125
2018/4/2 9:34,3.90625
2018/4/2 9:34,0
2018/4/2 9:34,0
2018/4/2 9:34,7.8125
2018/4/2 9:34,0
2018/4/2 9:34,0
2018/4/2 9:34,3.90625
2018/4/2 9:34,2.9296875
2018/4/2 9:34,2.9296875
2018/4/2 9:34,4.8828125
2018/4/2 9:35,0.9765625
2018/4/2 9:35,0.9765625
